2024-01-04;16:40:50;893;;NAME;REFERENCE;TARGETS;MINPODS;MAXPODS;REPLICAS;AGE
2024-01-04;16:40:50;899;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d21h
2024-01-04;16:43:20;949;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;35/100;(avg);1;100;1;6d21h
2024-01-04;16:43:35;969;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;151/100;(avg);1;100;1;6d21h
2024-01-04;16:43:50;995;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;416/100;(avg);1;100;2;6d21h
2024-01-04;16:44:06;013;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d21h
2024-01-04;16:44:21;037;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;6d21h
2024-01-04;16:44:36;054;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;9;6d21h
2024-01-04;16:48:51;323;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;9;6d21h
2024-01-04;16:49:06;338;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d21h
2024-01-04;16:51:21;482;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;167/100;(avg);1;100;1;6d21h
2024-01-04;16:51:36;499;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;6d22h
2024-01-04;16:51:51;523;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;165/100;(avg);1;100;2;6d22h
2024-01-04;16:52:06;538;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d22h
2024-01-04;16:56:51;835;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d22h
2024-01-04;16:57:06;850;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d22h
2024-01-04;16:57:36;887;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;1322/100;(avg);1;100;1;6d22h
2024-01-04;16:57:51;920;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d22h
2024-01-04;16:58:06;941;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;6d22h
