Data;HoraMinutoSegundo;Milissegundos;MensagensEnviadas;ComandoExecutado
2024-01-04;16:40:57;287;279;python3 -m app.rabbit_publisher 279
2024-01-04;16:41:07;441;319;python3 -m app.rabbit_publisher 319
2024-01-04;16:41:17;603;170;python3 -m app.rabbit_publisher 170
2024-01-04;16:41:27;747;332;python3 -m app.rabbit_publisher 332
2024-01-04;16:41:37;905;322;python3 -m app.rabbit_publisher 322
2024-01-04;16:41:48;064;317;python3 -m app.rabbit_publisher 317
2024-01-04;16:41:58;223;299;python3 -m app.rabbit_publisher 299
2024-01-04;16:42:08;377;216;python3 -m app.rabbit_publisher 216
2024-01-04;16:42:18;526;280;python3 -m app.rabbit_publisher 280
2024-01-04;16:42:28;683;180;python3 -m app.rabbit_publisher 180
2024-01-04;16:42:38;829;139;python3 -m app.rabbit_publisher 139
2024-01-04;16:42:48;967;229;python3 -m app.rabbit_publisher 229
2024-01-04;16:42:59;118;321;python3 -m app.rabbit_publisher 321
2024-01-04;16:43:09;283;212;python3 -m app.rabbit_publisher 212
2024-01-04;16:43:19;443;238;python3 -m app.rabbit_publisher 238
2024-01-04;16:43:29;593;116;python3 -m app.rabbit_publisher 116
2024-01-04;16:43:39;731;266;python3 -m app.rabbit_publisher 266
2024-01-04;16:43:49;885;304;python3 -m app.rabbit_publisher 304
2024-01-04;16:44:00;046;206;python3 -m app.rabbit_publisher 206
2024-01-04;16:44:10;200;337;python3 -m app.rabbit_publisher 337
2024-01-04;16:44:20;368;214;python3 -m app.rabbit_publisher 214
2024-01-04;16:44:30;531;103;python3 -m app.rabbit_publisher 103
2024-01-04;16:44:40;674;257;python3 -m app.rabbit_publisher 257
2024-01-04;16:44:50;827;132;python3 -m app.rabbit_publisher 132
2024-01-04;16:45:00;984;339;python3 -m app.rabbit_publisher 339
2024-01-04;16:45:11;148;333;python3 -m app.rabbit_publisher 333
2024-01-04;16:45:21;328;307;python3 -m app.rabbit_publisher 307
2024-01-04;16:45:31;487;270;python3 -m app.rabbit_publisher 270
2024-01-04;16:45:41;648;148;python3 -m app.rabbit_publisher 148
2024-01-04;16:45:51;790;307;python3 -m app.rabbit_publisher 307
2024-01-04;16:46:01;955;198;python3 -m app.rabbit_publisher 198
2024-01-04;16:46:12;105;203;python3 -m app.rabbit_publisher 203
2024-01-04;16:46:22;251;125;python3 -m app.rabbit_publisher 125
2024-01-04;16:46:32;404;168;python3 -m app.rabbit_publisher 168
2024-01-04;16:46:42;549;306;python3 -m app.rabbit_publisher 306
2024-01-04;16:46:52;709;198;python3 -m app.rabbit_publisher 198
2024-01-04;16:47:02;870;198;python3 -m app.rabbit_publisher 198
2024-01-04;16:47:13;054;174;python3 -m app.rabbit_publisher 174
2024-01-04;16:47:23;218;236;python3 -m app.rabbit_publisher 236
2024-01-04;16:47:33;379;229;python3 -m app.rabbit_publisher 229
2024-01-04;16:47:43;568;303;python3 -m app.rabbit_publisher 303
2024-01-04;16:47:53;724;148;python3 -m app.rabbit_publisher 148
2024-01-04;16:48:03;888;182;python3 -m app.rabbit_publisher 182
2024-01-04;16:48:14;032;115;python3 -m app.rabbit_publisher 115
2024-01-04;16:48:24;174;344;python3 -m app.rabbit_publisher 344
2024-01-04;16:48:34;354;156;python3 -m app.rabbit_publisher 156
2024-01-04;16:48:44;505;132;python3 -m app.rabbit_publisher 132
2024-01-04;16:48:54;646;246;python3 -m app.rabbit_publisher 246
2024-01-04;16:49:04;797;150;python3 -m app.rabbit_publisher 150
2024-01-04;16:49:14;937;218;python3 -m app.rabbit_publisher 218
2024-01-04;16:49:25;125;224;python3 -m app.rabbit_publisher 224
2024-01-04;16:49:35;278;212;python3 -m app.rabbit_publisher 212
2024-01-04;16:49:45;425;310;python3 -m app.rabbit_publisher 310
2024-01-04;16:49:55;582;248;python3 -m app.rabbit_publisher 248
2024-01-04;16:50:05;733;108;python3 -m app.rabbit_publisher 108
2024-01-04;16:50:15;885;317;python3 -m app.rabbit_publisher 317
2024-01-04;16:50:26;048;313;python3 -m app.rabbit_publisher 313
2024-01-04;16:50:36;206;295;python3 -m app.rabbit_publisher 295
2024-01-04;16:50:46;360;130;python3 -m app.rabbit_publisher 130
2024-01-04;16:50:56;506;271;python3 -m app.rabbit_publisher 271
2024-01-04;16:51:06;659;304;python3 -m app.rabbit_publisher 304
2024-01-04;16:51:16;815;113;python3 -m app.rabbit_publisher 113
2024-01-04;16:51:26;953;222;python3 -m app.rabbit_publisher 222
2024-01-04;16:51:37;102;293;python3 -m app.rabbit_publisher 293
2024-01-04;16:51:47;259;162;python3 -m app.rabbit_publisher 162
2024-01-04;16:51:57;401;209;python3 -m app.rabbit_publisher 209
2024-01-04;16:52:07;549;304;python3 -m app.rabbit_publisher 304
2024-01-04;16:52:17;716;118;python3 -m app.rabbit_publisher 118
2024-01-04;16:52:27;857;157;python3 -m app.rabbit_publisher 157
2024-01-04;16:52:38;001;295;python3 -m app.rabbit_publisher 295
2024-01-04;16:52:48;159;219;python3 -m app.rabbit_publisher 219
2024-01-04;16:52:58;311;136;python3 -m app.rabbit_publisher 136
2024-01-04;16:53:08;454;161;python3 -m app.rabbit_publisher 161
2024-01-04;16:53:18;598;297;python3 -m app.rabbit_publisher 297
2024-01-04;16:53:28;755;107;python3 -m app.rabbit_publisher 107
2024-01-04;16:53:38;896;184;python3 -m app.rabbit_publisher 184
2024-01-04;16:53:49;070;257;python3 -m app.rabbit_publisher 257
2024-01-04;16:53:59;232;184;python3 -m app.rabbit_publisher 184
2024-01-04;16:54:09;374;233;python3 -m app.rabbit_publisher 233
2024-01-04;16:54:19;527;141;python3 -m app.rabbit_publisher 141
2024-01-04;16:54:29;668;302;python3 -m app.rabbit_publisher 302
2024-01-04;16:54:39;837;145;python3 -m app.rabbit_publisher 145
2024-01-04;16:54:49;978;240;python3 -m app.rabbit_publisher 240
2024-01-04;16:55:00;133;234;python3 -m app.rabbit_publisher 234
2024-01-04;16:55:10;297;165;python3 -m app.rabbit_publisher 165
2024-01-04;16:55:20;441;136;python3 -m app.rabbit_publisher 136
2024-01-04;16:55:30;599;297;python3 -m app.rabbit_publisher 297
2024-01-04;16:55:40;758;287;python3 -m app.rabbit_publisher 287
2024-01-04;16:55:50;915;223;python3 -m app.rabbit_publisher 223
2024-01-04;16:56:01;071;128;python3 -m app.rabbit_publisher 128
2024-01-04;16:56:11;226;225;python3 -m app.rabbit_publisher 225
2024-01-04;16:56:21;411;283;python3 -m app.rabbit_publisher 283
2024-01-04;16:56:31;578;244;python3 -m app.rabbit_publisher 244
2024-01-04;16:56:41;732;125;python3 -m app.rabbit_publisher 125
2024-01-04;16:56:51;880;274;python3 -m app.rabbit_publisher 274
2024-01-04;16:57:02;039;172;python3 -m app.rabbit_publisher 172
2024-01-04;16:57:12;184;218;python3 -m app.rabbit_publisher 218
2024-01-04;16:57:22;329;253;python3 -m app.rabbit_publisher 253
2024-01-04;16:57:32;481;109;python3 -m app.rabbit_publisher 109
2024-01-04;16:57:42;618;123;python3 -m app.rabbit_publisher 123
2024-01-04;16:57:52;757;172;python3 -m app.rabbit_publisher 172
2024-01-04;16:58:02;903;249;python3 -m app.rabbit_publisher 249
2024-01-04;16:58:13;060;196;python3 -m app.rabbit_publisher 196
2024-01-04;16:58:23;208;322;python3 -m app.rabbit_publisher 322
2024-01-04;16:58:33;382;309;python3 -m app.rabbit_publisher 309
2024-01-04;16:58:43;553;324;python3 -m app.rabbit_publisher 324
2024-01-04;16:58:53;709;308;python3 -m app.rabbit_publisher 308
2024-01-04;16:59:03;902;320;python3 -m app.rabbit_publisher 320
2024-01-04;16:59:14;071;132;python3 -m app.rabbit_publisher 132
2024-01-04;16:59:24;237;232;python3 -m app.rabbit_publisher 232
2024-01-04;16:59:34;396;255;python3 -m app.rabbit_publisher 255
2024-01-04;16:59:44;557;294;python3 -m app.rabbit_publisher 294
2024-01-04;16:59:54;719;215;python3 -m app.rabbit_publisher 215
2024-01-04;17:00:04;881;269;python3 -m app.rabbit_publisher 269
2024-01-04;17:00:15;068;109;python3 -m app.rabbit_publisher 109
2024-01-04;17:00:25;204;156;python3 -m app.rabbit_publisher 156
2024-01-04;17:00:35;353;231;python3 -m app.rabbit_publisher 231
2024-01-04;17:00:45;512;161;python3 -m app.rabbit_publisher 161
2024-01-04;17:00:55;657;190;python3 -m app.rabbit_publisher 190
2024-01-04;17:01:05;826;101;python3 -m app.rabbit_publisher 101
2024-01-04;17:01:15;961;200;python3 -m app.rabbit_publisher 200
2024-01-04;17:01:26;115;349;python3 -m app.rabbit_publisher 349
2024-01-04;17:01:36;296;213;python3 -m app.rabbit_publisher 213
2024-01-04;17:01:46;459;341;python3 -m app.rabbit_publisher 341
2024-01-04;17:01:56;620;332;python3 -m app.rabbit_publisher 332
2024-01-04;17:02:06;776;199;python3 -m app.rabbit_publisher 199
2024-01-04;17:02:16;923;151;python3 -m app.rabbit_publisher 151
2024-01-04;17:02:27;083;315;python3 -m app.rabbit_publisher 315
2024-01-04;17:02:37;237;234;python3 -m app.rabbit_publisher 234
2024-01-04;17:02:47;409;167;python3 -m app.rabbit_publisher 167
2024-01-04;17:02:57;574;332;python3 -m app.rabbit_publisher 332
2024-01-04;17:03:07;733;337;python3 -m app.rabbit_publisher 337
2024-01-04;17:03:17;976;250;python3 -m app.rabbit_publisher 250
2024-01-04;17:03:28;150;337;python3 -m app.rabbit_publisher 337
2024-01-04;17:03:38;310;132;python3 -m app.rabbit_publisher 132
2024-01-04;17:03:48;447;194;python3 -m app.rabbit_publisher 194
2024-01-04;17:03:58;593;203;python3 -m app.rabbit_publisher 203
2024-01-04;17:04:08;738;320;python3 -m app.rabbit_publisher 320
2024-01-04;17:04:18;897;234;python3 -m app.rabbit_publisher 234
2024-01-04;17:04:29;048;116;python3 -m app.rabbit_publisher 116
2024-01-04;17:04:39;187;197;python3 -m app.rabbit_publisher 197
2024-01-04;17:04:49;346;128;python3 -m app.rabbit_publisher 128
2024-01-04;17:04:59;487;237;python3 -m app.rabbit_publisher 237
2024-01-04;17:05:09;637;283;python3 -m app.rabbit_publisher 283
2024-01-04;17:05:19;793;247;python3 -m app.rabbit_publisher 247
2024-01-04;17:05:29;947;316;python3 -m app.rabbit_publisher 316
2024-01-04;17:05:40;108;106;python3 -m app.rabbit_publisher 106
2024-01-04;17:05:50;248;214;python3 -m app.rabbit_publisher 214
2024-01-04;17:06:00;393;306;python3 -m app.rabbit_publisher 306
2024-01-04;17:06:10;553;305;python3 -m app.rabbit_publisher 305
2024-01-04;17:06:20;710;293;python3 -m app.rabbit_publisher 293
2024-01-04;17:06:30;866;244;python3 -m app.rabbit_publisher 244
2024-01-04;17:06:41;021;214;python3 -m app.rabbit_publisher 214
2024-01-04;17:06:51;181;260;python3 -m app.rabbit_publisher 260
2024-01-04;17:07:01;354;227;python3 -m app.rabbit_publisher 227
2024-01-04;17:07:11;504;200;python3 -m app.rabbit_publisher 200
2024-01-04;17:07:21;653;203;python3 -m app.rabbit_publisher 203
2024-01-04;17:07:31;802;305;python3 -m app.rabbit_publisher 305
2024-01-04;17:07:41;964;111;python3 -m app.rabbit_publisher 111
2024-01-04;17:07:52;103;124;python3 -m app.rabbit_publisher 124
2024-01-04;17:08:02;245;107;python3 -m app.rabbit_publisher 107
2024-01-04;17:08:12;381;325;python3 -m app.rabbit_publisher 325
2024-01-04;17:08:22;540;251;python3 -m app.rabbit_publisher 251
2024-01-04;17:08:32;694;191;python3 -m app.rabbit_publisher 191
2024-01-04;17:08:42;839;235;python3 -m app.rabbit_publisher 235
2024-01-04;17:08:52;989;127;python3 -m app.rabbit_publisher 127
2024-01-04;17:09:03;130;296;python3 -m app.rabbit_publisher 296
2024-01-04;17:09:13;287;217;python3 -m app.rabbit_publisher 217
2024-01-04;17:09:23;433;193;python3 -m app.rabbit_publisher 193
2024-01-04;17:09:33;583;228;python3 -m app.rabbit_publisher 228
2024-01-04;17:09:43;731;208;python3 -m app.rabbit_publisher 208
2024-01-04;17:09:53;879;127;python3 -m app.rabbit_publisher 127
2024-01-04;17:10:04;022;241;python3 -m app.rabbit_publisher 241
2024-01-04;17:10:14;178;316;python3 -m app.rabbit_publisher 316
2024-01-04;17:10:24;335;139;python3 -m app.rabbit_publisher 139
2024-01-04;17:10:34;473;313;python3 -m app.rabbit_publisher 313
2024-01-04;17:10:44;647;109;python3 -m app.rabbit_publisher 109
2024-01-04;17:10:54;786;225;python3 -m app.rabbit_publisher 225
2024-01-04;17:11:04;936;104;python3 -m app.rabbit_publisher 104
2024-01-04;17:11:15;077;105;python3 -m app.rabbit_publisher 105
2024-01-04;17:11:25;217;102;python3 -m app.rabbit_publisher 102
2024-01-04;17:11:35;353;191;python3 -m app.rabbit_publisher 191
2024-01-04;17:11:45;499;280;python3 -m app.rabbit_publisher 280
2024-01-04;17:11:55;653;248;python3 -m app.rabbit_publisher 248
2024-01-04;17:12:05;806;283;python3 -m app.rabbit_publisher 283
2024-01-04;17:12:15;959;346;python3 -m app.rabbit_publisher 346
2024-01-04;17:12:26;120;156;python3 -m app.rabbit_publisher 156
2024-01-04;17:12:36;259;168;python3 -m app.rabbit_publisher 168
2024-01-04;17:12:46;402;259;python3 -m app.rabbit_publisher 259
2024-01-04;17:12:56;553;136;python3 -m app.rabbit_publisher 136
2024-01-04;17:13:06;705;164;python3 -m app.rabbit_publisher 164
2024-01-04;17:13:16;848;103;python3 -m app.rabbit_publisher 103
2024-01-04;17:13:26;985;280;python3 -m app.rabbit_publisher 280
2024-01-04;17:13:37;144;167;python3 -m app.rabbit_publisher 167
2024-01-04;17:13:47;287;123;python3 -m app.rabbit_publisher 123
2024-01-04;17:13:57;425;244;python3 -m app.rabbit_publisher 244
2024-01-04;17:14:07;578;313;python3 -m app.rabbit_publisher 313
2024-01-04;17:14:17;740;274;python3 -m app.rabbit_publisher 274
2024-01-04;17:14:27;892;320;python3 -m app.rabbit_publisher 320
2024-01-04;17:14:38;055;331;python3 -m app.rabbit_publisher 331
2024-01-04;17:14:48;215;325;python3 -m app.rabbit_publisher 325
2024-01-04;17:14:58;375;214;python3 -m app.rabbit_publisher 214
2024-01-04;17:15:08;522;322;python3 -m app.rabbit_publisher 322
2024-01-04;17:15:18;682;318;python3 -m app.rabbit_publisher 318
2024-01-04;17:15:28;839;228;python3 -m app.rabbit_publisher 228
2024-01-04;17:15:38;986;125;python3 -m app.rabbit_publisher 125
2024-01-04;17:15:49;128;348;python3 -m app.rabbit_publisher 348
2024-01-04;17:15:59;290;225;python3 -m app.rabbit_publisher 225
2024-01-04;17:16:09;441;234;python3 -m app.rabbit_publisher 234
