Data;HoraMinutoSegundo;Milissegundos;MensagensEnviadas;ComandoExecutado
2024-01-06;05:50:12;140;330;python3 -m app.rabbit_publisher 330
2024-01-06;05:50:22;300;286;python3 -m app.rabbit_publisher 286
2024-01-06;05:50:32;455;294;python3 -m app.rabbit_publisher 294
2024-01-06;05:50:42;611;264;python3 -m app.rabbit_publisher 264
2024-01-06;05:50:52;763;280;python3 -m app.rabbit_publisher 280
2024-01-06;05:51:02;916;233;python3 -m app.rabbit_publisher 233
2024-01-06;05:51:13;090;266;python3 -m app.rabbit_publisher 266
2024-01-06;05:51:23;243;266;python3 -m app.rabbit_publisher 266
2024-01-06;05:51:33;393;323;python3 -m app.rabbit_publisher 323
2024-01-06;05:51:43;552;246;python3 -m app.rabbit_publisher 246
2024-01-06;05:51:53;702;114;python3 -m app.rabbit_publisher 114
2024-01-06;05:52:03;845;294;python3 -m app.rabbit_publisher 294
2024-01-06;05:52:14;004;213;python3 -m app.rabbit_publisher 213
2024-01-06;05:52:24;150;152;python3 -m app.rabbit_publisher 152
2024-01-06;05:52:34;291;120;python3 -m app.rabbit_publisher 120
2024-01-06;05:52:44;430;139;python3 -m app.rabbit_publisher 139
2024-01-06;05:52:54;569;292;python3 -m app.rabbit_publisher 292
2024-01-06;05:53:04;723;117;python3 -m app.rabbit_publisher 117
2024-01-06;05:53:14;863;159;python3 -m app.rabbit_publisher 159
2024-01-06;05:53:25;004;185;python3 -m app.rabbit_publisher 185
2024-01-06;05:53:35;225;278;python3 -m app.rabbit_publisher 278
2024-01-06;05:53:45;377;223;python3 -m app.rabbit_publisher 223
2024-01-06;05:53:55;526;258;python3 -m app.rabbit_publisher 258
2024-01-06;05:54:05;678;287;python3 -m app.rabbit_publisher 287
2024-01-06;05:54:15;833;309;python3 -m app.rabbit_publisher 309
2024-01-06;05:54:26;015;335;python3 -m app.rabbit_publisher 335
2024-01-06;05:54:36;174;243;python3 -m app.rabbit_publisher 243
2024-01-06;05:54:46;332;151;python3 -m app.rabbit_publisher 151
2024-01-06;05:54:56;555;107;python3 -m app.rabbit_publisher 107
2024-01-06;05:55:06;695;108;python3 -m app.rabbit_publisher 108
2024-01-06;05:55:16;851;220;python3 -m app.rabbit_publisher 220
2024-01-06;05:55:27;001;262;python3 -m app.rabbit_publisher 262
2024-01-06;05:55:37;155;154;python3 -m app.rabbit_publisher 154
2024-01-06;05:55:47;300;212;python3 -m app.rabbit_publisher 212
2024-01-06;05:55:57;446;115;python3 -m app.rabbit_publisher 115
